#{"t_start": 1768816883.760797, "env_id": null}
r,l,t
1451.0,596,6114.73852
2799.0,2684,6117.156975
1391.0,655,6119.854245
1988.0,793,6121.666143
1472.0,713,6122.836688
1751.0,595,6123.896034
1389.0,555,6442.473751
2070.0,817,6443.631444
1522.0,753,6445.883003
1717.0,714,6446.507628
477.0,422,6447.254177
909.0,458,6448.824143
1317.0,567,6452.970197
2036.0,945,6456.655146
2152.0,754,6457.431018
2859.0,1014,6782.635408
1761.0,722,6782.988057
1985.0,791,6784.544625
1484.0,739,6791.070619
1387.0,677,6792.297958
2706.0,857,6792.796474
902.0,516,6796.977186
1394.0,639,6799.589337
2304.0,1087,7120.752398
2616.0,971,7123.460366
3388.0,912,7125.318871
3273.0,4064,7126.955319
1422.0,617,7131.878915
2338.0,886,7132.916589
2243.0,921,7136.666897
1359.0,639,7138.582695
2015.0,877,7465.666716
1993.0,785,7470.789058
1742.0,687,7473.508517
1362.0,504,7479.43916
2046.0,784,7479.907897
2978.0,3350,7481.163737
1836.0,708,7488.169209
2135.0,815,7806.904381
1800.0,977,7807.107998
2286.0,894,7815.142227
1874.0,818,7817.498048
2936.0,1150,7822.252031
1754.0,660,7824.971923
1421.0,707,8152.278834
2381.0,4781,8152.965293
2229.0,784,8161.334152
2110.0,743,8161.558218
1483.0,889,8171.440337
2068.0,939,8172.241356
2093.0,3112,8493.03472
1484.0,672,8494.443848
2866.0,3812,8497.135283
1482.0,654,8502.289742
2233.0,839,8502.833746
951.0,1568,8505.554867
1290.0,545,8508.797748
1298.0,636,8509.22843
1384.0,735,8835.042434
1772.0,669,8838.044067
2421.0,900,8840.350971
1882.0,717,8843.529797
1670.0,827,8853.19208
2762.0,1098,8853.235599
1762.0,713,9173.830208
3394.0,1191,9179.395153
1385.0,620,9181.032391
1335.0,527,9185.467369
2052.0,3052,9185.967041
4001.0,4826,9186.733676
904.0,503,9191.716981
1337.0,676,9193.182797
1696.0,611,9529.48044
3665.0,1454,9534.895778
916.0,441,9535.638707
2195.0,923,9540.915057
1892.0,837,9542.294727
1873.0,809,9546.384214
953.0,985,9549.375393
1865.0,758,9551.011617
1959.0,807,9552.832079
1360.0,613,9554.426082
787.0,555,9905.452179
2885.0,995,9907.802484
3397.0,1169,9908.420352
2863.0,1065,9910.54057
1494.0,574,9915.200405
2834.0,847,9916.381307
1392.0,636,9918.665087
